index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
197,Dominica,16,-1,-1,-1,16,0,-1,222,-1,433,6017,71967,North America
198,Saint Kitts and Nevis,15,-1,-1,-1,15,0,-1,282,-1,391,7355,53158,North America
199,Falkland Islands,13,-1,-1,-1,13,0,-1,3749,-1,426,122837,3468,South America
200,Turks and Caicos,12,-1,1,-1,10,1,-1,310,26,109,2820,38658,North America
201,Vatican City,12,-1,-1,-1,2,10,-1,14981,-1,-1,-1,801,Europe
202,Montserrat,11,-1,1,-1,10,0,-1,2204,200,36,7212,4992,North America
203,Suriname,11,-1,1,-1,9,1,-1,19,2,404,689,586049,South America
204,Greenland,11,-1,-1,-1,11,0,-1,194,-1,1767,31132,56759,North America
205,Seychelles,11,-1,-1,-1,11,0,-1,112,-1,-1,-1,98280,Africa
206,MS Zaandam,9,-1,2,-1,-1,7,-1,-1,-1,-1,-1,-1,
207,British Virgin Islands,8,-1,1,-1,6,1,-1,265,33,167,5528,30209,North America
208,Papua New Guinea,8,-1,-1,-1,8,0,-1,0.9,-1,2402,269,8927298,Australia/Oceania
209,Caribbean Netherlands,6,-1,-1,-1,6,0,-1,229,-1,424,16186,26196,North America
210,St. Barth,6,-1,-1,-1,6,0,-1,608,-1,-1,-1,9874,North America
211,Western Sahara,6,-1,-1,-1,6,0,-1,10,-1,-1,-1,595583,Africa
212,Anguilla,3,-1,-1,-1,3,0,-1,200,-1,-1,-1,14988,North America
213,Lesotho,2,1,-1,-1,-1,2,-1,0.9,-1,-1,-1,2140374,Africa
214,Saint Pierre Miquelon,1,-1,-1,-1,1,0,-1,173,-1,-1,-1,5797,North America
215,China,82971,4,4634,-1,78255,82,8,58,3,-1,-1,1439323776,Asia
