index,Country,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,population,Continent
123,Ethiopia,731,-1,6,-1,181,544,1,6,0.05,91616,799,114669653,Africa
124,Jordan,720,-1,9,-1,586,125,5,71,0.9,167892,16470,10193504,Asia
125,Chad,715,-1,64,-1,359,292,-1,44,4,-1,-1,16376161,Africa
126,Diamond Princess,712,-1,13,-1,651,48,4,-1,-1,-1,-1,0,
127,CAR,702,-1,1,-1,23,678,-1,146,0.2,11570,2400,4821444,Africa
128,San Marino,667,-1,42,-1,294,331,-1,19661,1238,4079,120236,33925,Europe
129,Malta,612,-1,7,-1,491,114,1,1386,16,64334,145738,441436,Europe
130,Madagascar,612,-1,2,-1,151,459,10,22,0.07,9681,351,27617161,Africa
131,Congo,571,-1,19,-1,161,391,-1,104,3,-1,-1,5504079,Africa
132,Jamaica,569,5,9,-1,279,281,2,192,3,11259,3804,2959976,North America
133,Channel Islands,560,-1,45,-1,512,3,-1,3224,259,10255,59035,173711,Europe
134,Tanzania,509,-1,21,-1,183,305,7,9,0.4,-1,-1,59555005,Africa
135,Réunion,460,-1,1,-1,411,48,1,514,1,17200,19224,894714,Africa
136,Sao Tome and Principe,443,-1,12,-1,68,363,-1,2025,55,175,800,218753,Africa
137,Taiwan,441,-1,7,-1,419,15,-1,19,0.3,71405,2999,23812861,Asia
138,Palestine,434,-1,3,-1,365,66,-1,85,0.6,44876,8818,5089275,Asia
139,French Guiana,406,-1,1,-1,150,255,2,1363,3,-1,-1,297878,South America
140,Togo,395,-1,13,-1,183,199,-1,48,2,17501,2119,8258842,Africa
141,Cabo Verde,390,-1,4,-1,155,231,-1,702,7,1307,2353,555410,Africa
142,Rwanda,346,-1,-1,-1,245,101,-1,27,-1,60443,4679,12919074,Africa
